economic_exposure_family_id,fund_name,ticker,isin,exchange,domicile,ucits_status,priips_kid_status,uk_retail_status,sipp_availability,broker_availability,distribution_policy,ter,tracking_difference,aum,launch_date,replication_method,base_currency,trading_currency,currency_hedging_status,underlying_index,indicative_spread,traded_value,closure_risk,substitute_instrument,no_investment_rule,source_url,retrieval_date,evidence_notes,implementation_role,rotation_role,signal_status_at_2026_08_21,preferred_line_rule,alternate_use_rule,a5c_current_status,alternate_ticker,alternate_isin,alternate_trading_currency,alternate_price_unit,automatic_alternate_permitted,ii_current_tradable,ii_observation_date,ii_verification_method,historical_back_projection,a5c_source_artifact
GLOBAL_CLEAN_ENERGY,iShares Global Clean Energy Transition UCITS ETF,INRA,IE000U58J0M1,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,ACCUMULATING,0.006500000000000001,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,"Feb 23, 2022",NOT_VERIFIED,USD,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,GCEX|IE00BLRB0028,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D13%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.,M2_FAMILY,THEME_ROTATION,SIGNAL_READY,USE_FROZEN_PREFERRED_GBP_OR_GBX_LINE,ONLY_IF_FROZEN_GBP_GBX_AND_CONFIRMED_IN_SIPP,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,GCEX,IE00BLRB0028,GBP,GBX,YES_ONLY_AFTER_CURRENT_SIPP_CONFIRMATION,CONFIRMED_BY_USER,2026-08-23,USER_ACCOUNT_MANUAL_CHECK,PROHIBITED,UKACTIVE-A4E-SIPP\UKACTIVE_A4E_SIPP_LIVE_INSTRUMENT_MAP.csv
GLOBAL_CYBERSECURITY,WISDOMTREE ISSUER ICAV WT CYBERSECURITY UCITS ETF - USD ACC,CYSE,IE00BLPK3577,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,ACCUMULATING,,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_AVAILABLE,NOT_VERIFIED,NOT_VERIFIED,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,WCBR|IE00BLPK3577,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D30%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.,M2_FAMILY,THEME_ROTATION,SIGNAL_READY,USE_FROZEN_PREFERRED_GBP_OR_GBX_LINE,ONLY_IF_FROZEN_GBP_GBX_AND_CONFIRMED_IN_SIPP,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,WCBR,IE00BLPK3577,USD,USD,NO_USD_OR_EUR_LINE,CONFIRMED_BY_USER,2026-08-23,USER_ACCOUNT_MANUAL_CHECK,PROHIBITED,UKACTIVE-A4E-SIPP\UKACTIVE_A4E_SIPP_LIVE_INSTRUMENT_MAP.csv
GLOBAL_GENOMICS,ARK INVEST UCITS ICAV ARK GENOMIC REVOLUTION UCITS ETF,ARCG,IE000O5M6XO1,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,NOT_DETERMINED,,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_AVAILABLE,NOT_VERIFIED,NOT_VERIFIED,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,ARKG|IE000O5M6XO1,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D1%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.,M2_FAMILY,THEME_ROTATION,SIGNAL_READY,USE_FROZEN_PREFERRED_GBP_OR_GBX_LINE,ONLY_IF_FROZEN_GBP_GBX_AND_CONFIRMED_IN_SIPP,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,ARKG,IE000O5M6XO1,USD,USD,NO_USD_OR_EUR_LINE,CONFIRMED_BY_USER,2026-08-23,USER_ACCOUNT_MANUAL_CHECK,PROHIBITED,UKACTIVE-A4E-SIPP\UKACTIVE_A4E_SIPP_LIVE_INSTRUMENT_MAP.csv
GLOBAL_GOLD_MINERS,iShares Gold Producers UCITS ETF,SPGP,IE00B6R52036,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,YES,CURRENT_PUBLIC_DOCUMENTATION_CONFIRMED,PUBLIC_UK_ELIGIBLE_CONFIRMED,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,ACCUMULATING,0.0055000000000000005,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,16/Sept/2011,Replicated,USD,GBP,UNHEDGED,S&P Commodity Producers Gold Index NTR,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,IAUP|IE00B6R52036,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D17%26size%3D100;https://www.ishares.com/gls-download/literature/kiid/ucits_kiid-ishares-gold-producers-ucits-etf-usd-acc-gb-ie00b6r52036-en.pdf,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.,M2_FAMILY,INDUSTRY_ROTATION,SIGNAL_READY,USE_FROZEN_PREFERRED_GBP_OR_GBX_LINE,ONLY_IF_FROZEN_GBP_GBX_AND_CONFIRMED_IN_SIPP,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,IAUP,IE00B6R52036,USD,USD,NO_USD_OR_EUR_LINE,CONFIRMED_BY_USER,2026-08-23,USER_ACCOUNT_MANUAL_CHECK,PROHIBITED,UKACTIVE-A4E-SIPP\UKACTIVE_A4E_SIPP_LIVE_INSTRUMENT_MAP.csv
GLOBAL_INFRASTRUCTURE,,INFR,IE00B1FZS467,LONDON STOCK EXCHANGE,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,,CURRENT_PUBLIC_DOCUMENTATION_CONFIRMED,PUBLIC_UK_ELIGIBLE_CONFIRMED,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,,,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,,,,GBP,,,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,IDIN|IE00B1FZS467,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://www.ishares.com/uk/individual/en/products/251809/ishares-global-infrastructure-ucits-etf,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.,M2_FAMILY,THEME_ROTATION,SIGNAL_READY,USE_FROZEN_PREFERRED_GBP_OR_GBX_LINE,ONLY_IF_FROZEN_GBP_GBX_AND_CONFIRMED_IN_SIPP,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,IDIN,IE00B1FZS467,USD,USD,NO_USD_OR_EUR_LINE,CONFIRMED_BY_USER,2026-08-23,USER_ACCOUNT_MANUAL_CHECK,PROHIBITED,UKACTIVE-A4E-SIPP\UKACTIVE_A4E_SIPP_LIVE_INSTRUMENT_MAP.csv
GLOBAL_OIL_GAS,iShares Oil & Gas Exploration & Production UCITS ETF,SPOG,IE00B6R51Z18,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,YES,CURRENT_PUBLIC_DOCUMENTATION_CONFIRMED,PUBLIC_UK_ELIGIBLE_CONFIRMED,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,ACCUMULATING,0.0055000000000000005,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,16/Sept/2011,Replicated,USD,GBP,UNHEDGED,S&P Commodity Producers Oil & Gas Exploration & Production Index NTR,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,IOGP|IE00B6R51Z18,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D17%26size%3D100;https://www.ishares.com/gls-download/literature/kiid/ucits_kiid-ishares-oil-gas-exploration-production-ucits-etf-usd-acc-gb-ie00b6r51z18-en.pdf,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.,M2_FAMILY,INDUSTRY_ROTATION,SIGNAL_READY,USE_FROZEN_PREFERRED_GBP_OR_GBX_LINE,ONLY_IF_FROZEN_GBP_GBX_AND_CONFIRMED_IN_SIPP,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,IOGP,IE00B6R51Z18,USD,USD,NO_USD_OR_EUR_LINE,CONFIRMED_BY_USER,2026-08-23,USER_ACCOUNT_MANUAL_CHECK,PROHIBITED,UKACTIVE-A4E-SIPP\UKACTIVE_A4E_SIPP_LIVE_INSTRUMENT_MAP.csv
GLOBAL_QUANTUM_COMPUTING,iShares Quantum Computing UCITS ETF,QANT,IE000C6ITGC8,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,ACCUMULATING,0.005,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,"Dec 03, 2025",NOT_VERIFIED,USD,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,QNTG|IE0007Y8Y157,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D15%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.,M2_FAMILY,THEME_ROTATION,SIGNAL_READY,USE_FROZEN_PREFERRED_GBP_OR_GBX_LINE,ONLY_IF_FROZEN_GBP_GBX_AND_CONFIRMED_IN_SIPP,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,QNTG,IE0007Y8Y157,GBP,GBX,YES_ONLY_AFTER_CURRENT_SIPP_CONFIRMATION,CONFIRMED_BY_USER,2026-08-23,USER_ACCOUNT_MANUAL_CHECK,PROHIBITED,UKACTIVE-A4E-SIPP\UKACTIVE_A4E_SIPP_LIVE_INSTRUMENT_MAP.csv
GLOBAL_RETAIL,GLOBAL X ETFS ICAV GLOBAL X E-COMMERCE UCITS ETF,EBIG,IE00BMH5XY61,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,NOT_DETERMINED,,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_AVAILABLE,NOT_VERIFIED,NOT_VERIFIED,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,EBIZ|IE00BMH5XY61,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D5%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.,M2_FAMILY,INDUSTRY_ROTATION,SIGNAL_READY,USE_FROZEN_PREFERRED_GBP_OR_GBX_LINE,ONLY_IF_FROZEN_GBP_GBX_AND_CONFIRMED_IN_SIPP,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,EBIZ,IE00BMH5XY61,USD,USD,NO_USD_OR_EUR_LINE,CONFIRMED_BY_USER,2026-08-23,USER_ACCOUNT_MANUAL_CHECK,PROHIBITED,UKACTIVE-A4E-SIPP\UKACTIVE_A4E_SIPP_LIVE_INSTRUMENT_MAP.csv
GLOBAL_ROBOTICS_AUTOMATION,iShares Automation & Robotics UCITS ETF,RBTX,IE00BYZK4552,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,ACCUMULATING,0.004,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,"Sept 08, 2016",NOT_VERIFIED,USD,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,RBOT|IE00BYZK4552,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D15%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.,M2_FAMILY,THEME_ROTATION,SIGNAL_READY,USE_FROZEN_PREFERRED_GBP_OR_GBX_LINE,ONLY_IF_FROZEN_GBP_GBX_AND_CONFIRMED_IN_SIPP,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,RBOT,IE00BYZK4552,USD,USD,NO_USD_OR_EUR_LINE,CONFIRMED_BY_USER,2026-08-23,USER_ACCOUNT_MANUAL_CHECK,PROHIBITED,UKACTIVE-A4E-SIPP\UKACTIVE_A4E_SIPP_LIVE_INSTRUMENT_MAP.csv
GLOBAL_SEMICONDUCTORS,VANECK UCITS ETFS PLC VANECK SEMICONDUCTOR UCITS ETF,SMGB,IE00BMC38736,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,NOT_DETERMINED,,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_AVAILABLE,NOT_VERIFIED,NOT_VERIFIED,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,SMH|IE00BMC38736,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D28%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.,M2_FAMILY,THEME_ROTATION,SIGNAL_READY,USE_FROZEN_PREFERRED_GBP_OR_GBX_LINE,ONLY_IF_FROZEN_GBP_GBX_AND_CONFIRMED_IN_SIPP,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,SMH,IE00BMC38736,USD,USD,NO_USD_OR_EUR_LINE,CONFIRMED_BY_USER,2026-08-23,USER_ACCOUNT_MANUAL_CHECK,PROHIBITED,UKACTIVE-A4E-SIPP\UKACTIVE_A4E_SIPP_LIVE_INSTRUMENT_MAP.csv
GLOBAL_SILVER_MINERS,GLOBAL X ETFS ICAV GLOBAL X SILVER MINERS UCITS ETF,SILG,IE000UL6CLP7,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,NOT_DETERMINED,,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_AVAILABLE,NOT_VERIFIED,NOT_VERIFIED,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,SILV|IE000UL6CLP7,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D6%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.,M2_FAMILY,INDUSTRY_ROTATION,SIGNAL_READY,USE_FROZEN_PREFERRED_GBP_OR_GBX_LINE,ONLY_IF_FROZEN_GBP_GBX_AND_CONFIRMED_IN_SIPP,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,SILV,IE000UL6CLP7,USD,USD,NO_USD_OR_EUR_LINE,CONFIRMED_BY_USER,2026-08-23,USER_ACCOUNT_MANUAL_CHECK,PROHIBITED,UKACTIVE-A4E-SIPP\UKACTIVE_A4E_SIPP_LIVE_INSTRUMENT_MAP.csv
GLOBAL_SOFTWARE,WISDOMTREE ISSUER ICAV WT CLOUD COMPUTING UCITS ETF USD ACC,KLWD,IE00BJGWQN72,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,ACCUMULATING,,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_AVAILABLE,NOT_VERIFIED,NOT_VERIFIED,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,WCLD|IE00BJGWQN72,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D30%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.,M2_FAMILY,INDUSTRY_ROTATION,SIGNAL_READY,USE_FROZEN_PREFERRED_GBP_OR_GBX_LINE,ONLY_IF_FROZEN_GBP_GBX_AND_CONFIRMED_IN_SIPP,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,WCLD,IE00BJGWQN72,USD,USD,NO_USD_OR_EUR_LINE,CONFIRMED_BY_USER,2026-08-23,USER_ACCOUNT_MANUAL_CHECK,PROHIBITED,UKACTIVE-A4E-SIPP\UKACTIVE_A4E_SIPP_LIVE_INSTRUMENT_MAP.csv
GLOBAL_SOLAR,INVESCO MARKETS II PLC IVZ SOLAR ENERGY UCITS ETF,RAYS,IE00BM8QRZ79,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,NOT_DETERMINED,,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_AVAILABLE,NOT_VERIFIED,NOT_VERIFIED,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,ISUN|IE00BM8QRZ79,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D11%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.,M2_FAMILY,THEME_ROTATION,SIGNAL_READY,USE_FROZEN_PREFERRED_GBP_OR_GBX_LINE,ONLY_IF_FROZEN_GBP_GBX_AND_CONFIRMED_IN_SIPP,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,ISUN,IE00BM8QRZ79,USD,USD,NO_USD_OR_EUR_LINE,CONFIRMED_BY_USER,2026-08-23,USER_ACCOUNT_MANUAL_CHECK,PROHIBITED,UKACTIVE-A4E-SIPP\UKACTIVE_A4E_SIPP_LIVE_INSTRUMENT_MAP.csv
GLOBAL_TRANSPORTATION,LEGAL & GENERAL UCITS ETF PLC L&G ECOMMERCE LOGISTICS GO UCITS ETF,ECOG,IE00BF0M6N54,London Stock Exchange,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_DETERMINED,TO_CHECK,PUBLIC_UK_ELIGIBILITY_UNCERTAIN,TO_CHECK_SIPP_SPECIFIC_ACCOUNT,CONFIRMED_BY_USER,NOT_DETERMINED,,,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,NOT_AVAILABLE,NOT_VERIFIED,NOT_VERIFIED,GBP,UNHEDGED,NOT_VERIFIED,CURRENT_SPREAD_NOT_ARCHIVED,NOT_EVIDENCED_IN_CURRENT_CANONICAL_ARTIFACT,LOWER_CURRENT_OPERATIONAL_RISK_NOT_GUARANTEED,ECOM|IE00BF0M6N54,"IF PREFERRED AND PREDECLARED ALTERNATE ARE UNAVAILABLE, ALLOCATE SLOT TO GBP CASH; NO DISCRETIONARY SUBSTITUTE",https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D21%26size%3D100,2026-08-24,Current-only evidence; never back-project ii/SIPP availability. SIPP-specific availability remains separate from user account tradability.,M2_FAMILY,INDUSTRY_ROTATION,SIGNAL_READY,USE_FROZEN_PREFERRED_GBP_OR_GBX_LINE,ONLY_IF_FROZEN_GBP_GBX_AND_CONFIRMED_IN_SIPP,II_CONFIRMED_CURRENT_SIPP_ACCOUNT_TO_CONFIRM,ECOM,IE00BF0M6N54,USD,USD,NO_USD_OR_EUR_LINE,CONFIRMED_BY_USER,2026-08-23,USER_ACCOUNT_MANUAL_CHECK,PROHIBITED,UKACTIVE-A4E-SIPP\UKACTIVE_A4E_SIPP_LIVE_INSTRUMENT_MAP.csv
